"Manuscript H-ID","Manuscript Record Title","Holding Institution H-ID","Holding Institution Record Title","Holding Institution Record Title","Call number","IIIF Manifest Link(s)"
15834,"Hamburg, Staats-und Universitätsbibliothek, Ms. 210 in scrin.",180,"Hamburg, Staats-und Universitätsbibliothek","Hamburg, Staats-und Universitätsbibliothek","Ms. 210 in scrin.",https://iiif.sub.uni-hamburg.de/object/PPN1689317604/manifest
15840,"Hannover, Landesbibliothek, Ms. I 78",181,"Hannover, Landesbibliothek","Hannover, Landesbibliothek","Ms. I 78",https://digitale-sammlungen.gwlb.de/content/1742799264/manifest.json
15842,"Harvard University, Houghton Library, Ms.Riant 91",182,"Harvard University, Houghton Library","Harvard University, Houghton Library","Ms.Riant 91",https://iiif.lib.harvard.edu/manifests/drs:47818658
15846,"Admont Stiftsbibliothek, Admont Ms.17",122,"Admont Stiftsbibliothek","Admont Stiftsbibliothek","Admont Ms.17",https://manuscripta.at/diglit/iiif/AT1000-17/manifest.json
15851,"Heidelberg, Universitätsbibliothek, Pal. germ. 478",184,"Heidelberg, Universitätsbibliothek","Heidelberg, Universitätsbibliothek","Pal. germ. 478",https://digi.ub.uni-heidelberg.de/diglit/iiif3/cpg478/manifest
15852,"Heidelberg, Universitätsbibliothek, Pal. germ. 677",184,"Heidelberg, Universitätsbibliothek","Heidelberg, Universitätsbibliothek","Pal. germ. 677",https://digi.ub.uni-heidelberg.de/diglit/iiif3/cpg677/manifest
15853,"Heidelberg, Universitätsbibliothek, Pal. germ. 807",184,"Heidelberg, Universitätsbibliothek","Heidelberg, Universitätsbibliothek","Pal. germ. 807",https://digi.ub.uni-heidelberg.de/diglit/iiif/cpg807/manifest
15854,"Hermetschwil, Benedictine monastery, Ms. chart. 124",28251,"Hermetschwil, Benedictine monastery","Hermetschwil, Benedictine monastery","Ms. chart. 124",https://www.e-codices.unifr.ch/metadata/iiif/hba-chart0124/manifest.json
15855,"Hermetschwil, Benedictine monastery, Ms. membr. 65",28251,"Hermetschwil, Benedictine monastery","Hermetschwil, Benedictine monastery","Ms. membr. 65",https://www.e-codices.ch/metadata/iiif/hba-membr0065/manifest.json
15856,"Hildesheim, Cathedral Library, Hs. J 27",185,"Hildesheim, Cathedral Library","Hildesheim, Cathedral Library","Hs. J 27",https://iiif.hab.de/object/mss_ed000218/manifest.json
15857,"Hildesheim, Cathedral Library, Hs. J 29",185,"Hildesheim, Cathedral Library","Hildesheim, Cathedral Library","Hs. J 29",https://iiif.hab.de/object/mss_ed000219/manifest.json
15858,"Autun, Bibliothèque municipale, Autun, Bm 20",67,"Autun, Bibliothèque municipale","Autun, Bibliothèque municipale","Autun, Bm 20",https://api.irht.cnrs.fr/ark:/63955/fhk5nwwsy8ig/manifest.json
15860,"San Marino, Huntington Library, Art Museum, and Botanical Gardens, mssHM 26068",24117,"San Marino, Huntington Library, Art Museum, and Botanical Gardens","San Marino, Huntington Library, Art Museum, and Botanical Gardens","mssHM 26068",https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:53271/manifest.json
15862,"Karlsruhe, Badische Landesbibliothek, Lichtent. 105",187,"Karlsruhe, Badische Landesbibliothek","Karlsruhe, Badische Landesbibliothek","Lichtent. 105",
15863,"Karlsruhe, Badische Landesbibliothek, Donaueschingen 422",187,"Karlsruhe, Badische Landesbibliothek","Karlsruhe, Badische Landesbibliothek","Donaueschingen 422",https://digital.blb-karlsruhe.de/i3f/v20/902663/manifest
15864,"Karlsruhe, Badische Landesbibliothek, Donaueschingen 830",187,"Karlsruhe, Badische Landesbibliothek","Karlsruhe, Badische Landesbibliothek","Donaueschingen 830",https://digital.blb-karlsruhe.de/i3f/v20/3162169/manifest
15868,"Karlsruhe, Badische Landesbibliothek, Lichtent. 123",187,"Karlsruhe, Badische Landesbibliothek","Karlsruhe, Badische Landesbibliothek","Lichtent. 123",https://digital.blb-karlsruhe.de/i3f/v20/1401805/manifest
15872,"Karlsruhe, Badische Landesbibliothek, Lichtent. 89",187,"Karlsruhe, Badische Landesbibliothek","Karlsruhe, Badische Landesbibliothek","Lichtent. 89",https://digital.blb-karlsruhe.de/i3f/v20/1162987/manifest
15873,"Karlsruhe, Badische Landesbibliothek, Lichtent. 95",187,"Karlsruhe, Badische Landesbibliothek","Karlsruhe, Badische Landesbibliothek","Lichtent. 95",https://digital.blb-karlsruhe.de/i3f/v20/1164480/manifest
15876,"Karlsruhe, Badische Landesbibliothek, Lichtent. 65",187,"Karlsruhe, Badische Landesbibliothek","Karlsruhe, Badische Landesbibliothek","Lichtent. 65",https://digital.blb-karlsruhe.de/i3f/v20/1164543/manifest
15877,"Karlsruhe, Badische Landesbibliothek, Lichtent. 69",187,"Karlsruhe, Badische Landesbibliothek","Karlsruhe, Badische Landesbibliothek","Lichtent. 69",https://digital.blb-karlsruhe.de/i3f/v20/1162626/manifest
